name,price,link
Onion 1 kg, 27.00,https://www.jiomart.com//p/groceries/lentil-sprouts-200-g/590003515
Sweet Corn 1 pc (Approx 250 g - 450 g), 16.00,https://www.jiomart.com//p/groceries/sweet-corn-1-pc/590001266
Coconut 1 pc (Approx 350 g - 600 g), 23.00,https://www.jiomart.com//p/groceries/coconut-1-pc/590000086
Tomato 1 kg, 19.00,https://www.jiomart.com//p/groceries/amaranthus-1-bunch/590003517
Cucumber Madras 1 kg, 49.00,https://www.jiomart.com//p/groceries/cucumber-madras-1-kg/590000171
Tender Coconut Cling Wrapped (1 pc) (Approx 900 g - 1300 g), 52.00,https://www.jiomart.com//p/groceries/tender-coconut-per-piece/590003564
Potato per kg, 31.00,https://www.jiomart.com//p/groceries/tapioca-1-kg/590003516
Pineapple Queen 1 pc (Approx 700 g - 1200 g), 54.00,https://www.jiomart.com//p/groceries/pineapple-queen-1-pc/590000070
Banana Red (Box) (Approx 800 g - 1000 g), 129.00,https://www.jiomart.com//p/groceries/banana-red-box/590034084
Onion 5 kg (Pack), 125.00,https://www.jiomart.com//p/groceries/onion-5-kg-pack/590002136
Kinoo Orange 1 kg, 99.00,https://www.jiomart.com//p/groceries/kinoo-orange-per-kg/590085177
Tender Coconut 1 pc (Approx 800 g - 1500 g), 49.00,https://www.jiomart.com//p/groceries/tender-coconut-1-pc/590000097
Lauki (Bottle Gourd) 1 kg, 29.00,https://www.jiomart.com//p/groceries/lauki-bottle-gourd-1-kg/590000174
Mosambi 1 kg, 88.00,https://www.jiomart.com//p/groceries/mosambi-1-kg/590000448
Dates Imported (Approx 400 g - 500 g), 179.00,https://www.jiomart.com//p/groceries/dates-imported-400-g-pack/590002744
Banana Robusta 6 pcs (Box) (Approx 800 g - 1100 g), 42.00,https://www.jiomart.com//p/groceries/banana-robusta-6-pcs-box/590001285
Bhendi (Okra) 250 g, 14.50,https://www.jiomart.com//p/groceries/bhendi-okra-per-kg/590003550
Button Mushroom 200 g, 32.00,https://www.jiomart.com//p/groceries/mushroom-200-g-pack/590000245
Dragonfruit per pc (Approx 280 g - 450 g), 69.00,https://www.jiomart.com//p/groceries/dragonfruit-per-pc/590007689
Cauliflower 1 pc (Approx 600 g - 1000 g), 19.00,https://www.jiomart.com//p/groceries/capsicum-yellow-200-g/590003537
Onion 1 kg, 27.00,https://www.jiomart.com//p/groceries/lentil-sprouts-200-g/590003515
Sweet Corn 1 pc (Approx 250 g - 450 g), 16.00,https://www.jiomart.com//p/groceries/sweet-corn-1-pc/590001266
